mm_dd,temperature_2016_2020_celsius,temperature_2046_2050_celsius,change,temperature_2046_2050_celsius_feelslike
09-12,26.7,27.4,0.2,29.7
09-13,27.0,27.4,0.4,29.6
09-14,27.5,28.1,-0.1,31.0
09-15,27.8,27.9,0.4,30.7
09-16,27.0,27.5,0.9,30.0
09-17,27.0,27.5,0.5,30.0
09-18,26.2,27.1,1.3,29.1
09-19,27.5,27.6,-0.5,30.1
09-20,27.4,27.9,0.2,30.8
09-21,27.1,27.5,0.8,30.0
09-22,26.9,28.2,0.6,31.3
09-23,26.9,28.1,1.2,31.2
09-24,26.9,27.1,1.2,29.3
09-25,26.4,28.0,0.8,31.0
09-26,26.9,27.4,1.1,29.7
09-27,26.7,27.4,0.7,29.9
09-28,27.7,27.4,-0.3,29.8
09-29,27.5,28.0,-0.2,31.0
09-30,27.7,28.8,0.2,32.9
10-01,28.0,28.1,0.9,31.3
10-02,27.8,28.6,0.2,32.1
10-03,27.4,27.5,1.2,30.1
10-04,27.8,28.6,-0.3,32.2
10-05,28.1,28.0,0.5,31.2
10-06,26.6,27.7,1.4,30.5
10-07,27.6,28.9,0.1,32.9
10-08,27.4,28.7,1.5,32.5
10-09,28.2,28.8,0.5,32.6
10-10,28.1,27.9,0.6,31.2
10-11,27.2,27.8,0.7,30.8
10-12,27.3,28.6,0.5,32.3
10-13,27.9,28.9,0.7,32.8
10-14,28.5,28.3,0.4,31.5
10-15,28.0,28.1,0.3,31.2
10-16,27.7,28.3,0.4,31.5
10-17,27.9,28.5,0.3,32.1
10-18,26.9,28.5,1.6,32.1
10-19,27.8,28.4,0.7,31.9
10-20,27.9,29.7,0.5,33.8
10-21,28.6,28.7,1.1,32.2
10-22,28.6,28.3,0.1,31.4
10-23,27.8,27.9,0.5,30.5
10-24,28.2,28.7,-0.3,32.1
10-25,28.1,28.2,0.6,31.1
10-26,29.4,28.3,-1.2,31.4
10-27,28.3,28.7,0.0,32.2
10-28,28.0,28.6,0.7,32.1
10-29,28.4,28.8,0.3,32.1
10-30,28.6,28.2,0.2,31.0
10-31,29.2,29.6,-1.1,33.7
11-01,28.2,29.6,1.4,33.6
11-02,29.0,29.2,0.6,32.9
11-03,28.5,29.0,0.7,32.7
11-04,28.5,29.7,0.5,34.1
11-05,29.3,29.3,0.4,33.2
11-06,29.6,30.0,-0.3,34.4
11-07,29.2,29.6,0.7,33.8
11-08,28.4,29.3,1.3,33.5
11-09,27.4,29.4,1.9,33.4
11-10,28.5,30.3,0.9,35.0
11-11,29.2,29.3,1.2,33.1
11-12,29.4,30.2,0.0,34.6
11-13,30.0,29.4,0.3,33.1
11-14,30.4,29.8,-1.0,33.9
11-15,29.2,31.1,0.6,35.3
11-16,29.3,31.2,1.8,35.7
11-17,28.2,30.4,3.0,34.7
11-18,29.7,30.1,0.8,34.4
11-19,29.6,29.9,0.5,34.0
11-20,29.5,30.2,0.4,34.4
11-21,30.1,29.9,0.1,33.7
11-22,28.8,29.7,1.1,33.5
11-23,29.5,30.5,0.1,35.0
11-24,29.3,30.2,1.3,34.5
11-25,29.6,29.8,0.5,33.9
11-26,30.0,30.6,-0.3,34.1
11-27,29.9,30.1,0.6,33.1
11-28,29.9,30.4,0.2,33.6
11-29,30.3,30.3,0.1,33.1
11-30,29.9,30.2,0.4,32.3
12-01,30.5,30.0,-0.2,31.6
12-02,30.2,31.1,-0.2,33.1
12-03,30.0,31.0,1.0,32.8
12-04,30.9,31.7,0.1,34.1
12-05,30.9,31.6,0.8,34.4
12-06,31.6,31.4,0.0,34.5
12-07,31.5,30.8,-0.1,33.4
12-08,30.9,31.7,-0.1,34.9
12-09,31.3,32.1,0.4,34.7
12-10,31.1,31.9,0.9,33.9
12-11,31.1,32.5,0.8,34.5
12-12,31.6,33.0,0.9,35.1
12-13,32.2,32.9,0.8,35.7
12-14,31.7,32.3,1.2,35.5
12-15,31.3,32.3,1.0,36.4
12-16,31.4,32.6,0.9,36.5
12-17,31.6,33.8,1.0,37.5
12-18,32.0,33.3,1.8,36.5
12-19,31.9,32.7,1.4,36.0
12-20,32.4,33.4,0.3,36.8
12-21,32.6,32.9,0.8,35.7
12-22,32.7,33.3,0.2,36.3
12-23,32.9,33.1,0.4,35.6
12-24,32.8,33.3,0.3,35.6
12-25,33.5,33.6,-0.1,36.1
12-26,33.6,33.5,-0.1,36.3
12-27,33.8,33.1,-0.3,35.7
12-28,33.9,34.0,-0.8,36.6
12-29,33.7,34.3,0.3,36.5
12-30,33.5,33.8,0.7,37.0
12-31,33.5,34.6,0.3,37.2
